Code	Product label	Exported value in 2000-Q1	Exported value in 2000-Q2	Exported value in 2000-Q3	Exported value in 2000-Q4	Exported value in 2001-Q1	Exported value in 2001-Q2	Exported value in 2001-Q3	Exported value in 2001-Q4	Exported value in 2002-Q1	Exported value in 2002-Q2	Exported value in 2002-Q3	Exported value in 2002-Q4	Exported value in 2003-Q1	Exported value in 2003-Q2	Exported value in 2003-Q3	Exported value in 2003-Q4	Exported value in 2004-Q1	Exported value in 2004-Q2	
210390	"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excl. soya sauce, ..."	62	32	0	0	3	0	0	14	3	0	2	8	6	0	27	4	0	5	
220110	"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured"	62	18	32	9	0	37	0	44	4	18	32	79	10	28	12	31	12	5	
240220	"Cigarettes, containing tobacco"	52	77	43	17	32	66	22	23	30	99	30	59	152	49	9	0	231	5	
080300	"Bananas, incl. plantains, fresh or dried"	0	0	1	1	0	0	0	0	0	0	0	0	0	2	3	7	10	4	
130219	"Vegetable saps and extracts (excl. liquorice, hops, opium and ephedra)"	2	0	0	0	0	0	0	0	7	0	0	0	0	25	3	0	12	4	
140490	"Vegetable products n.e.s"	110	1	2	1	1	1	0	8	20	34	10	2	0	2	7	2	2	4	
151529	"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
210500	"Ice cream and other edible ice, whether or not containing cocoa"	0	0	0	0	0	0	0	0	0	0	59	0	0	22	0	0	0	4	
060240	"Roses, whether or not grafted"	192	0	0	124	201	7	0	14	116	10	0	34	146	0	0	0	40	3	
070930	"Fresh or chilled aubergines "eggplants""	5	0	0	1	17	1	0	8	50	19	0	13	12	9	1	25	11	3	
071030	"Spinach, New Zealand spinach and orache spinach, uncooked or cooked by steaming or by boiling ..."	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	3	
080550	"Fresh or dried lemons "Citrus limon, Citrus limonum" and limes "Citrus aurantifolia, Citrus ..."	0	0	0	0	0	0	0	0	0	0	0	37	6	0	0	10	17	3	
090121	"Roasted coffee (excl. decaffeinated)"	1	55	0	0	3	1	2	3	0	3	246	35	0	1	20	483	0	3	
140410	"Raw vegetable materials primarily for dyeing or tanning, n.e.s."	0	0	0	6	0	0	0	0	0	8	0	1	6	0	2	1	5	3	
170191	"Refined cane or beet sugar, containing added flavouring or colouring, in solid form"	0	0	0	6	0	2	0	4	3	4	3	2	0	4	1	8	0	3	
190190	"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	3	
510111	"Greasy shorn wool, incl. fleece-washed wool, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
040690	"Cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and ..."	2	1	2	0	0	0	0	1	0	0	2	39	0	6	11	1	3	2	
050790	"Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, ..."	5	0	15	10	6	0	24	5	5	21	0	7	17	7	21	2	8	2	
080410	"Fresh or dried dates"	26	0	0	0	11	0	0	0	0	0	0	56	2	8	49	34	15	2	
080920	"Fresh cherries"	0	47	7	0	0	55	0	0	0	0	0	0	0	12	0	0	0	2	
081290	"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ..."	198	290	328	77	43	70	7	0	1	0	5	3	15	9	4	3	0	2	
121300	"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ..."	0	0	0	0	0	0	0	0	0	2	1	2	1	1	2	1	1	2	
190230	"Pasta, cooked or otherwise prepared (excl. stuffed)"	0	0	0	0	0	0	0	2	3	2	2	12	0	3	15	0	0	2	
190540	"Rusks, toasted bread and similar toasted products"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	10	2	
200990	"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ..."	7	0	0	0	0	1	8	11	2	1	2	1	3	13	6	2	0	2	
510320	"Waste of wool or of fine animal hair, incl. yarn waste (excl. noils and garnetted stock)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	
530130	"Flax tow and waste, incl. yarn waste and garnetted stock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
060499	"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, for bouquets ..."	8	1	6	1	1	0	8	1	1	0	4	8	0	0	5	31	0	1	
090190	"Coffee husks and skins; coffee substitutes containing coffee in any proportion"	9	0	0	0	0	0	0	1	0	0	0	2	0	3	1	4	0	1	
121230	"Apricot, peach "incl. nectarine" or plum stones and kernels"	0	0	36	10	0	0	11	13	0	0	39	0	0	0	19	0	0	1	
151790	"Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ..."	0	0	0	0	0	0	0	0	0	40	0	4	1	1	0	2	1	1	
170199	"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ..."	4	10	0	0	1	0	0	0	0	4	1	3	0	0	0	0	0	1	
180690	"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ..."	0	0	0	1	0	0	0	0	26	0	4	0	0	0	0	0	101	1	
200600	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	14	0	0	0	0	0	0	2	0	0	0	0	0	0	42	22	45	1	
200929	"Grapefruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar ..."	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	1	1	
200939	"Single citrus fruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	
510129	"Degreased wool, non-carbonised, neither carded nor combed (excl. shorn wool)"	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
010111	"Pure-bred breeding horses"	6	7	0	0	0	0	0	6	19	1	1	0	0	0	0	0	0	0	
010119	"Live horses (excluding pure-bred for breeding)"	4	5	27	5	3	13	3	10	4	15	2	0	0	0	0	0	0	0	
010120	"Live asses, mules and hinnies"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010121	"Pure-bred breeding horses"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010129	"Live horses (excl. pure-bred for breeding)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010210	"Pure-bred breeding bovines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010290	"Live bovine animals (excl. cattle and buffalo)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010410	"Live sheep"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010420	"Live goats"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010511	"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010512	"Live domestic turkeys, weighing <= 185 g"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010515	"Live domestic guinea fowls, weighing <= 185 g"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010519	"Live domestic ducks, geese and guinea fowls, weighing <= 185 g"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010592	"Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010600	"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ..."	100	157	37	56	314	282	110	77	632	513	143	88	0	0	0	0	0	0	
010612	"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010619	"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
010639	"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010641	"Live bees"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010649	"Live insects (excl. bees)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020110	"Carcases or half-carcases of bovine animals, fresh or chilled"	48	31	42	59	52	8	10	11	1	3	5	0	0	0	1	0	0	0	
020120	"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
020130	"Fresh or chilled bovine meat, boneless"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	
020210	"Frozen bovine carcases and half-carcases"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
020220	"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020230	"Frozen, boneless meat of bovine animals"	12	9	10	6	4	2	1	1	2	0	1	1	2	0	0	1	0	0	
020311	"Fresh or chilled carcases and half-carcases of swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020312	"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020321	"Frozen carcases and half-carcases of swine"	57	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020322	"Frozen hams, shoulders and cuts thereof of swine, with bone in"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020329	"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020410	"Fresh or chilled lamb carcases and half-carcases"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020421	"Fresh or chilled sheep carcases and half-carcases (excl. lambs)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020423	"Fresh or chilled boneless cuts of sheep"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020430	"Frozen lamb carcases and half-carcases"	7	4	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	
020441	"Frozen sheep carcases and half-carcases (excl. lambs)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020442	"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)"	1	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
020443	"Frozen boneless cuts of sheep"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020450	"Fresh, chilled or frozen meat of goats"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020500	"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020610	"Fresh or chilled edible offal of bovine animals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020621	"Frozen edible bovine tongues"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020622	"Frozen edible bovine livers"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020629	"Frozen edible bovine offal (excl. tongues and livers)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020630	"Fresh or chilled edible offal of swine"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020641	"Frozen edible livers of swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020649	"Edible offal of swine, frozen (excl. livers)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020690	"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020711	"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020712	"Frozen fowls of the species Gallus domesticus, not cut in pieces"	4	4	4	8	4	2	1	1	2	0	0	0	0	0	0	0	0	0	
020713	"Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020714	"Frozen cuts and edible offal of fowls of the species Gallus domesticus"	1	2	0	3	0	1	0	1	0	0	0	0	0	0	0	8	0	0	
020724	"Fresh or chilled turkeys of the species domesticus, not cut in pieces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020725	"Frozen turkeys of the species domesticus, not cut into pieces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020726	"Fresh or chilled cuts and edible offal of turkeys of the species domesticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020733	"Frozen ducks, geese and guinea fowls of the species domesticus, not cut into pieces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020734	"Fresh or chilled edible fatty livers of ducks or geese of the species domesticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020735	"Fresh or chilled cuts and edible offal of ducks, geese or guinea fowls of the species domesticus ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020736	"Frozen cuts and edible offal of ducks, geese or guinea fowls of the species domesticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020741	"Fresh or chilled domestic ducks, not cut in pieces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020745	"Frozen cuts and edible offal of domestic ducks"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020820	"Fresh, chilled or frozen frogs' legs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020890	"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020900	"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020910	"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020990	"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021011	"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021012	"Bellies "streaky" and cuts thereof of swine, salted, in brine, dried or smoked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021019	"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021020	"Meat of bovine animals, salted, in brine, dried or smoked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021090	"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ..."	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021099	"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040110	"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040120	"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040130	"Milk and cream of a fat content by weight of > 6%, not concentrated nor containing added sugar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	
040140	"Milk and cream of a fat content by weight of > 6% but <= 10%, not concentrated nor containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040150	"Milk and cream of a fat content by weight of > 10%, not concentrated nor containing added sugar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040210	"Milk and cream in solid forms, of a fat content by weight of <= 1,5%"	0	0	1	0	3	0	6	0	0	0	0	0	0	3	0	0	0	0	
040221	"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened"	0	6	3	1	0	0	0	0	0	3	9	3	0	255	7	8	0	0	
040229	"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040291	"Milk and cream, concentrated but unsweetened (excl. in solid forms)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040299	"Milk and cream, concentrated and sweetened (excl. in solid forms)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040320	"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruit, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040390	"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040410	"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040490	"Products consisting of natural milk constituents, whether or not sweetened, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040510	"Butter (excl. dehydrated butter and ghee)"	0	0	30	0	0	0	0	0	0	0	44	356	0	0	0	0	0	0	
040520	"Dairy spreads of a fat content, by weight, of >= 39% but < 80%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040590	"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040610	"Fresh cheese "unripened or uncured cheese", incl. whey cheese, and curd"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
040620	"Grated or powdered cheese, of all kinds"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
040640	"Blue-veined cheese and other cheese containing veins produced by "Penicillium roqueforti""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040700	"Birds' eggs, in shell, fresh, preserved or cooked"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040711	"Fertilised eggs for incubation, of domestic fowls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040719	"Fertilised birds' eggs for incubation (excl. of domestic fowls)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040721	"Fresh eggs of domestic fowls, in shell (excl. fertilised for incubation)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040729	"Fresh birds' eggs, in shell (excl. of domestic fowls, and fertilised for incubation)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040790	"Birds' eggs, in shell, preserved or cooked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040811	"Dried egg yolks, whether or not sweetened"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040819	"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040891	"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040899	"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040900	"Natural honey"	0	14	0	0	0	0	5	1	16	1	0	1	0	0	0	0	0	0	
041000	"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
041090	"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050100	"Human hair, unworked, whether or not washed or scoured; waste of human hair"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050210	"Pigs', hogs' or boars' bristles and waste of such bristles"	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	
050290	"Badger and other brush making hair and waste thereof"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050300	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050510	"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050590	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050690	"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050900	"Natural sponges of animal origin"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
051000	"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
051110	"Bovine semen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
051199	"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, ..."	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060110	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excl. those used for human ..."	0	0	10	0	0	0	14	3	0	0	13	0	19	0	0	0	0	0	
060230	"Rhododendrons and azaleas, grafted or not"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060311	"Fresh cut roses and buds, of a kind suitable for bouquets or for ornamental purposes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060312	"Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060315	"Fresh cut lilies "Lilium spp." and buds, of a kind suitable for bouquets or for ornamental ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060319	"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes (excl. ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060410	"Mosses and lichens for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated ..."	0	10	0	9	30	12	0	2	0	26	22	19	22	6	0	0	0	0	
060420	"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060490	"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060491	"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, fresh, ..."	0	0	0	0	0	0	0	14	10	0	0	1	0	0	0	0	1	0	
070420	"Brussels sprouts, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070490	"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, ..."	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	
070511	"Fresh or chilled cabbage lettuce"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070521	"Fresh or chilled witloof chicory"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070940	"Fresh or chilled celery (excl. celeriac)"	0	65	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	
070953	"Fresh or chilled mushrooms of the genus Cantharellus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070956	"Fresh or chilled truffles "Tuber spp.""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070991	"Fresh or chilled globe artichokes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070992	"Fresh or chilled olives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070993	"Fresh or chilled pumpkins, squash and gourds "Cucurbita spp.""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070999	"Fresh or chilled vegetables n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071021	"Shelled or unshelled peas "Pisum sativum", uncooked or cooked by steaming or by boiling in ..."	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	
071110	"Onions provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ..."	0	0	34	0	59	43	0	5	1	256	20	0	502	0	0	0	0	0	
071151	"Mushrooms of the genus "Agaricus", provisionally preserved, e.g., by sulphur dioxide gas, in ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071230	"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared"	1	0	0	0	15	7	0	16	30	0	13	0	0	0	0	0	0	0	
071232	"Dried wood ears "Auricularia spp.", whole, cut, sliced, broken or in powder, but not further ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071239	"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
071331	"Dried, shelled beans of species "Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek", whether ..."	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071332	"Dried, shelled small red "Adzuki" beans "Phaseolus or Vigna angularis", whether or not skinned ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071339	"Dried, shelled beans "Vigna and Phaseolus", whether or not skinned or split (excl. beans of ..."	0	0	0	0	0	0	0	100	78	0	124	0	0	0	52	64	0	0	
071410	"Fresh, chilled, frozen or dried roots and tubers of manioc "cassava", whether or not sliced ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071420	"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
071490	"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ..."	0	0	35	8	0	0	30	2	0	0	0	4	0	0	24	26	21	0	
080111	"Desiccated coconuts"	30	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080112	"Fresh coconuts in the inner shell "endocarp""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080119	"Fresh coconuts, whether or not shelled or peeled (excl. in the inner shell "endocarp")"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
080121	"Fresh or dried brazil nuts, in shell"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080122	"Fresh or dried brazil nuts, shelled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080131	"Fresh or dried cashew nuts, in shell"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080132	"Fresh or dried cashew nuts, shelled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
